rating,title,review_text,date,platform
4,,please enable dual account login for family usage like whatsapp,2026-06-05 21:37:58+00:00,google_play
1,,waste of time in waste of money withdrawal is always fail app withdrawal not accepted only deposit accepted customer support also not work properly customer support waiting time is more than 10 minutes sometime more also don't use this app this is waste of time and waste of money,2026-06-05 21:20:07+00:00,google_play
5,,bahut he aasah,2026-06-05 20:28:59+00:00,google_play
1,,bad,2026-06-05 19:22:24+00:00,google_play
1,,"I have been investing in mutual funds for the last year. A few months ago, I took a loan against my mutual fund through Groww. I borrowed 10k and repaid it within a week, but they charged more than 1.1k. They did not provide any proper document or report explaining the charges. When I tried calling their helpline, there was no response. They even charge fees for updating personal details. I'm not sure what other charges they may apply in the future.",2026-06-05 18:53:53+00:00,google_play
5,,it's very smooth app for biginers,2026-06-05 18:41:49+00:00,google_play
1,,Very bad brocker not refer to grow app ....it's not you life grow up its always grow down me apply ipo this app no one IPO not allocated brocker not manage IPO currectly ....bettter you joice unother brocker and app will hewy gilch problem,2026-06-05 18:37:03+00:00,google_play
5,,updated new version,2026-06-05 18:24:36+00:00,google_play
2,,बहुत ज्यादा बहुत ज्यादा चार्ज लेता है समझ नहीं आता शेयर खरीदते ही तो सेल हो जाता है बाय करते हैं सेल हो जाता है जब भी खरीदने गिर जाता है सेल करते हैं तो पाया जाता है समझ नहीं आता,2026-06-05 17:36:55+00:00,google_play
1,,"They have mandated Mutual fund investment in demat mode and not earlier SOA mode. So, keeping inline with Zerodha. When will they enable US stocks investing using UCITS to avoid inheritance tax above $60,000.",2026-06-05 17:27:12+00:00,google_play
4,,mg namaste 🙏🏻 namaste I will suit you so much,2026-06-05 17:24:56+00:00,google_play
5,,bahut badhiya aap h me ek naya invester hu mujhe ye app bahut kuch sikhata h,2026-06-05 16:46:46+00:00,google_play
5,,clean UI,2026-06-05 16:36:40+00:00,google_play
1,,new update on F&o pathetic difficult to buy and very confusing day by day app is going pathetic,2026-06-05 15:46:28+00:00,google_play
5,,nice 👍,2026-06-05 14:57:24+00:00,google_play
5,,krushna SOMINATH Gaikwad,2026-06-05 14:57:02+00:00,google_play
5,,very nice 👍,2026-06-05 14:53:31+00:00,google_play
5,,better luck next tiem,2026-06-05 14:50:16+00:00,google_play
5,,like this,2026-06-05 14:44:26+00:00,google_play
5,,very good App for trading....,2026-06-05 14:41:46+00:00,google_play
5,,"this is best app and enjoying with app,useful app",2026-06-05 14:23:43+00:00,google_play
5,,The only stocks app I use.,2026-06-05 14:21:23+00:00,google_play
1,,loaa,2026-06-05 14:00:35+00:00,google_play
5,,easy for use,2026-06-05 13:59:41+00:00,google_play
5,,sab kuch hai par tax bahut lagta hai,2026-06-05 13:57:48+00:00,google_play
5,,Best,2026-06-05 13:43:36+00:00,google_play
